NAMESPACE       NAME                                             AGE
observability   dotnetgigs-services                              3h27m
observability   kube-prometheus-stack-alertmanager               4h22m
observability   kube-prometheus-stack-apiserver                  4h22m
observability   kube-prometheus-stack-coredns                    4h22m
observability   kube-prometheus-stack-grafana                    4h22m
observability   kube-prometheus-stack-kube-controller-manager    4h22m
observability   kube-prometheus-stack-kube-etcd                  4h22m
observability   kube-prometheus-stack-kube-proxy                 4h22m
observability   kube-prometheus-stack-kube-scheduler             4h22m
observability   kube-prometheus-stack-kube-state-metrics         4h22m
observability   kube-prometheus-stack-kubelet                    4h22m
observability   kube-prometheus-stack-operator                   4h22m
observability   kube-prometheus-stack-prometheus                 4h22m
observability   kube-prometheus-stack-prometheus-node-exporter   4h22m
